Area,Industry,ClassOfWorker,Jobs.2026,Jobs.2031,Earnings.2025,Industry_Group,Growth_2026_2031,GrowthRate_2026_2031
75001,Construction Industries,QCEW Employees,1373.04823686899,1455.6692594099054,146584084.1776664,Construction Industries,82.62102254091542,0.06017343041736023
75002,Construction Industries,QCEW Employees,1327.2686637100633,1490.91616858649,141357968.14836672,Construction Industries,163.64750487642664,0.12329644280080343
75006,Construction Industries,QCEW Employees,6366.751443457576,6753.872775166405,716707092.9342028,Construction Industries,387.1213317088286,0.06080358800666419
75007,Construction Industries,QCEW Employees,476.90739606390036,526.6774626669819,43778551.26683855,Construction Industries,49.770066603081546,0.10436002254075527
75009,Construction Industries,QCEW Employees,563.1091940682775,625.7080468985984,54649505.025770225,Construction Industries,62.59885283032088,0.11116645490737764
75010,Construction Industries,QCEW Employees,712.2895460583775,728.5283677021104,63125788.37131742,Construction Industries,16.238821643732877,0.022798062576650402
75011,Construction Industries,QCEW Employees,0.05810587029190914,0.12036155344636505,7511.057099827849,Construction Industries,0.06225568315445591,1.071418134548182
75013,Construction Industries,QCEW Employees,515.0065116763035,572.2670914727402,58171072.69696371,Construction Industries,57.26057979643667,0.11118418602137337
75014,Construction Industries,QCEW Employees,0.042980690114971506,0.09589823802246641,4966.152099919858,Construction Industries,0.05291754790749491,1.2311935375151664
75016,Construction Industries,QCEW Employees,0.04585925184040868,0.10425739319796888,5757.855605995529,Construction Industries,0.058398141357560204,1.2734211530704247
75017,Construction Industries,QCEW Employees,0.04852964526705884,19.327378658463655,5912.779044530737,Construction Industries,19.278849013196595,397.25921974300473
75019,Construction Industries,QCEW Employees,1307.61346636144,1401.8795079896674,190539844.3477415,Construction Industries,94.26604162822741,0.072090142884909
75022,Construction Industries,QCEW Employees,276.6881352043786,302.8839001254778,25115084.176350255,Construction Industries,26.19576492109917,0.0946761410703405
75023,Construction Industries,QCEW Employees,320.32419305609386,355.9632819645391,33820047.94570124,Construction Industries,35.63908890844522,0.11125943553755935
75024,Construction Industries,QCEW Employees,2031.1604647875283,2257.1739019165198,226017398.61522824,Construction Industries,226.01343712899143,0.111273058454608
75025,Construction Industries,QCEW Employees,378.78698077610136,420.93576245166355,33294673.813971307,Construction Industries,42.14878167556219,0.11127304742418298
75026,Construction Industries,QCEW Employees,1.6838192210044234e-05,1.337334184142297e-05,2.9698818659701476,Construction Industries,-3.464850368621264e-06,-0.20577329949674938
75027,Construction Industries,QCEW Employees,61.065342906311024,66.57509152281425,6480317.804000821,Construction Industries,5.509748616503224,0.09022709697964859
75028,Construction Industries,QCEW Employees,619.4068153142518,683.8354716595145,75410433.93827,Construction Industries,64.42865634526265,0.10401670558399534
75029,Construction Industries,QCEW Employees,61.85019701242913,77.5203639546784,6799439.141295561,Construction Industries,15.670166942249274,0.2533567829881005
75030,Construction Industries,QCEW Employees,0.03435292669404081,23.022366957690203,4117.366593193265,Construction Industries,22.988014030996162,669.171923421124
75032,Construction Industries,QCEW Employees,1328.1517823312306,1562.1879689819393,125760108.08019203,Construction Industries,234.03618665070871,0.17621192830831278
75033,Construction Industries,QCEW Employees,1978.241624044585,2204.720334603086,182632003.64475852,Construction Industries,226.478710558501,0.11448485756530458
75034,Construction Industries,QCEW Employees,1324.675950594641,1508.5305590074038,122128843.61342879,Construction Industries,183.85460841276267,0.13879213880966979
75035,Construction Industries,QCEW Employees,395.3573129430363,439.34992884353017,39351607.88134293,Construction Industries,43.99261590049389,0.11127305467809179
75036,Construction Industries,QCEW Employees,230.84845311541366,254.98455861439786,26510803.955321956,Construction Industries,24.136105498984193,0.10455389747366972
75038,Construction Industries,QCEW Employees,1558.7500372592162,1652.5471533034186,160871917.84606507,Construction Industries,93.79711604420231,0.06017457180570651
75039,Construction Industries,QCEW Employees,543.8919231754768,576.6182630680473,55224142.72683257,Construction Industries,32.726339892570536,0.06017066718236963
75040,Construction Industries,QCEW Employees,777.4140775343993,803.9298160250804,79512336.8056434,Construction Industries,26.515738490681088,0.03410761299149212
75041,Construction Industries,QCEW Employees,2176.86790903836,2282.2577627951864,219264125.4668624,Construction Industries,105.3898537568266,0.04841352721460401
75042,Construction Industries,QCEW Employees,1518.7871888787743,1610.2394678730486,175100131.19294238,Construction Industries,91.45227899427437,0.06021401791108594
75043,Construction Industries,QCEW Employees,521.8544827875654,553.2865929280714,56814611.41631551,Construction Industries,31.432110140505984,0.06023156105243466
75044,Construction Industries,QCEW Employees,198.9416992664911,210.9041415302386,23242981.14157183,Construction Industries,11.962442263747505,0.06013039150592192
75045,Construction Industries,QCEW Employees,667.706914141019,628.8094247863086,96338954.04656991,Construction Industries,-38.89748935471039,-0.05825533408584005
75048,Construction Industries,QCEW Employees,482.0894300206296,511.08057505287377,51122537.69729082,Construction Industries,28.991145032244162,0.06013644611748403
75049,Construction Industries,QCEW Employees,274.8985227568724,293.7154001697509,38719883.533369824,Construction Industries,18.81687741287851,0.06845026748114136
75050,Construction Industries,QCEW Employees,6041.462822205892,6493.479127966238,600942227.9109858,Construction Industries,452.01630576034586,0.07481901636453392
75051,Construction Industries,QCEW Employees,1182.3025205740569,1252.1745890417926,115859424.48471771,Construction Industries,69.87206846773574,0.059098299506127994
75052,Construction Industries,QCEW Employees,566.7745840746243,600.7322963968322,58836997.120845884,Construction Industries,33.95771232220795,0.05991396452198172
75053,Construction Industries,QCEW Employees,199.1403070117062,190.60481723557012,25184475.521558695,Construction Industries,-8.535489776136075,-0.04286168834536508
75054,Construction Industries,QCEW Employees,315.4900156395017,333.86666719268527,40447174.742061,Construction Industries,18.376651553183592,0.05824796552098155
75056,Construction Industries,QCEW Employees,1504.154506751054,1661.160147247203,141119654.12735245,Construction Industries,157.005640496149,0.10438132505102704
75057,Construction Industries,QCEW Employees,3800.036100664546,4196.673630726969,351583509.9759702,Construction Industries,396.63753006242314,0.10437730578218973
75060,Construction Industries,QCEW Employees,1665.6276499795122,1765.8314507395726,160031850.46683672,Construction Industries,100.2038007600604,0.06015978466813565
75061,Construction Industries,QCEW Employees,5691.28894056131,6033.691550531408,557516992.9600139,Construction Industries,342.40260997009864,0.06016257715011197
75062,Construction Industries,QCEW Employees,1547.7796746548916,1633.0928841781317,154629722.0587066,Construction Industries,85.31320952324018,0.05511973759589672
75063,Construction Industries,QCEW Employees,1710.6821686778067,1813.9652061952304,218535820.77060947,Construction Industries,103.28303751742374,0.0603753516629284
75065,Construction Industries,QCEW Employees,336.57735688254655,349.22241606331227,40548072.72675559,Construction Industries,12.645059180765713,0.03756954804650858
75067,Construction Industries,QCEW Employees,1166.9736024610233,1288.7252574958632,133697177.28734753,Construction Industries,121.75165503483981,0.10433111321291122
75068,Construction Industries,QCEW Employees,586.3007188526401,647.5167454668521,56191688.34847139,Construction Industries,61.216026614211955,0.10441062861735606
75069,Construction Industries,QCEW Employees,1381.2343657658535,1534.9285451172084,131810625.80394869,Construction Industries,153.69417935135493,0.11127306354424227
75070,Construction Industries,QCEW Employees,692.1548754411665,769.1730834858322,67612572.94161175,Construction Industries,77.0182080446657,0.11127308464825258
75071,Construction Industries,QCEW Employees,3318.229165258105,3601.3141288440115,346627410.90090847,Construction Industries,283.08496358590673,0.08531205938089181
75072,Construction Industries,QCEW Employees,345.6519684204137,384.11371128490447,39122605.195743345,Construction Industries,38.46174286449076,0.11127303293036661
75074,Construction Industries,QCEW Employees,4219.570555331094,4689.669279282345,397972959.87936723,Construction Industries,470.0987239512515,0.1114091393393859
75075,Construction Industries,QCEW Employees,1069.8021550544424,1184.5952722376435,118342825.04133642,Construction Industries,114.79311718320105,0.10730312763050964
75077,Construction Industries,QCEW Employees,258.74520159326624,285.7665316801445,22707624.090287898,Construction Industries,27.021330086878265,0.10443219785522584
75078,Construction Industries,QCEW Employees,1689.4503418381532,1878.6184516074818,170838844.72408846,Construction Industries,189.16810976932857,0.11197021012379094
75080,Construction Industries,QCEW Employees,1070.1442452757788,1134.7353160683156,100781816.87131195,Construction Industries,64.59107079253681,0.060357350027978374
